hindi,gsheet_goog_translate,append_prompt,gsheet_prompt_translate_with_prompt,eng_prompt_translate,chat_gpt_append,chat_gpt_pre,chat_gpt_translit_split_a,chat_gpt_translit_split_b,chat_gpt_translit_split_c,chat_gpt_fin
अलखपुरा,Alakhpura,rajasthan village name: अलखपुरा,Rajasthan Village Name: Alakhpura,Alakhpura,अलखपुरा - alakhapura,अलखपुरा , alakhapura,,,alakhapura
अलखपुरा बोगान,Alakhpura bogan,rajasthan village name: अलखपुरा बोगान,Rajasthan Village Name: Alakhpura Bogan,Alakhpura Bogan,अलखपुरा बोगान - alakhapura bogan,अलखपुरा बोगान , alakhapura bogan,,,alakhapura bogan
अलतवा,Altava,rajasthan village name: अलतवा,Rajasthan Village Name: Altva,Altva,अलतवा - altava,अलतवा , altava,,,altava
अलनिया,Alania,rajasthan village name: अलनिया,Rajasthan Village Name: Alania,Alania,अलनिया - alaniya,अलनिया , alaniya,,,alaniya
अलसीगढ़,Lysigarh,rajasthan village name: अलसीगढ़,Rajasthan Village Name: Alasigarh,Alasigarh,अलसीगढ - alsigadh,अलसीगढ , alsigadh,,,alsigadh
अलसीसर,Lysar,rajasthan village name: अलसीसर,Rajasthan Village Name: Lessiser,Lessiser,अलसीसर - alsisar,अलसीसर , alsisar,,,alsisar
अलाय,Aloi,rajasthan village name: अलाय,Rajasthan Village Name: Alli,Alli,अलाय - alay,अलाय , alay,,,alay
अलायला,Alayla,rajasthan village name: अलायला,Rajasthan Village Name: Alilala,Alilala,अलायला - alayala,अलायला , alayala,,,alayala
अलावडा,Alawada,rajasthan village name: अलावडा,Rajasthan Village Name: Alawada,Alawada,अलावडा - alavada,अलावडा , alavada,,,alavada
अलावा,In addition,rajasthan village name: अलावा,Rajasthan Village Name: In addition,In addition,अलावा - alava,अलावा , alava,,,alava
अलियारी,Aliyari,rajasthan village name: अलियारी,Rajasthan Village Name: Aliyari,Aliyari,अलियारी - aliyari,अलियारी , aliyari,,,aliyari
अलीगढ,Aligarh,rajasthan village name: अलीगढ,Rajasthan Village Name: Aligarh,Aligarh,अलीगढ - aligadh,अलीगढ , aligadh,,,aligadh
अलीगढ+,Aligarh+,rajasthan village name: अलीगढ+,Rajasthan Village Name: Aligarh+,Aligarh+,अलीगढ+ - aligadh,अलीगढ+ , aligadh,,,aligadh
अलीपुर,Alipur,rajasthan village name: अलीपुर,Rajasthan Village Name: Alipur,Alipur,अलीपुर - alipur,अलीपुर , alipur,,,alipur
अलीपुरा,Alipura,rajasthan village name: अलीपुरा,Rajasthan Village Name: Alipura,Alipura,अलीपुरा - alipura,अलीपुरा , alipura,,,alipura
अलोद,Alod,rajasthan village name: अलोद,Rajasthan Village Name: Alod,Alod,अलोद - alod,अलोद , alod,,,alod
अलोदा,Aloda,rajasthan village name: अलोदा,Rajasthan Village Name: Aloda,Aloda,अलोदा - aloda,अलोदा , aloda,,,aloda
अल्फानगर,Alphanagar,rajasthan village name: अल्फानगर,Rajasthan Village Name: Alphanagar,Alphanagar,अल्फानगर - alphanagar,अल्फानगर , alphanagar,,,alphanagar
अल्लापुर,Allapur,rajasthan village name: अल्लापुर,Rajasthan Village Name: Allapur,Allapur,अल्लापुर - allapur,अल्लापुर , allapur,,,allapur
अवलेश्वर,Avaleshwar,rajasthan village name: अवलेश्वर,Rajasthan Village Name: Avaleshwar,Avaleshwar,अवलेश्वर - avaleshwar,अवलेश्वर , avaleshwar,,,avaleshwar
अवानियां,Awans,rajasthan village name: अवानियां,Rajasthan Village Name: Awans,Awans,अवानियां - avaniyan,अवानियां , avaniyan,,,avaniyan
अवाय,Ie,rajasthan village name: अवाय,Rajasthan Village Name: Ayst,Ayst,अवाय - avay,अवाय , avay,,,avay
अवार,Aar,rajasthan village name: अवार,Rajasthan Village Name: Avar,Avar,अवार - avar,अवार , avar,,,avar
असनावर,Asnavar,rajasthan village name: असनावर,Rajasthan Village Name: Asnavar,Asnavar,असनावर - asnavar,असनावर , asnavar,,,asnavar
असाड़ा,Asada,rajasthan village name: असाड़ा,Rajasthan Village Name: Asada,Asada,असाडा - asada,असाडा , asada,,,asada
असारीवाडा,Asarivada,rajasthan village name: असारीवाडा,Rajasthan Village Name: Asarivada,Asarivada,असारीवाडा - asarivada,असारीवाडा , asarivada,,,asarivada
असावता,Disabilities,rajasthan village name: असावता,Rajasthan Village Name: Initiality,Initiality,असावता - asavata,असावता , asavata,,,asavata
असावरी,Asavari,rajasthan village name: असावरी,Rajasthan Village Name: Asavari,Asavari,असावरी - asavari,असावरी , asavari,,,asavari
अस्तावन,Scorching,rajasthan village name: अस्तावन,Rajasthan Village Name: Astavan,Astavan,अस्तावन - astavan,अस्तावन , astavan,,,astavan
अहम्मदपुर,Ahammadpur,rajasthan village name: अहम्मदपुर,Rajasthan Village Name: Akadpur,Akadpur,अहम्मदपुर - ahmadpur,अहम्मदपुर , ahmadpur,,,ahmadpur
अं‍िध्‍ायारी,Informal,rajasthan village name: अं‍िध्‍ायारी,Rajasthan Village Name: Angian,Angian,अं‍िध्‍ायारी - andharyari,अं‍िध्‍ायारी , andharyari,,,andharyari
आईड़ाणा,Idea,rajasthan village name: आईड़ाणा,Rajasthan Village Name: Aidana,Aidana,आईड़ाणा - aidana,आईड़ाणा , aidana,,,aidana
आईदानकाबास,Idanakabas,rajasthan village name: आईदानकाबास,Rajasthan Village Name: Idanakabas,Idanakabas,आईदानकाबास - aidankabas,आईदानकाबास , aidankabas,,,aidankabas
आईपुरा,Ipura,rajasthan village name: आईपुरा,Rajasthan Village Name: Aipura,Aipura,आईपुरा - aipura,आईपुरा , aipura,,,aipura
आउ,Aau,rajasthan village name: आउ,Rajasthan Village Name: Aau,Aau,आउ - aau,आउ , aau,,,aau
आउवा,Auwa,rajasthan village name: आउवा,Rajasthan Village Name: Auwa,Auwa,आउवा - aava,आउवा , aava,,,aava
आंकखेडी,Clinical,rajasthan village name: आंकखेडी,Rajasthan Village Name: Audakkhedi,Audakkhedi,आंकखेडी - ankakhedi,आंकखेडी , ankakhedi,,,ankakhedi
आकड़ली बक्शीराम,Akadali Bakshiram,rajasthan village name: आकड़ली बक्शीराम,Rajasthan Village Name: Akadali Bakshiram,Akadali Bakshiram,आकड़ली बक्शीराम - akadli bakhshiram,आकड़ली बक्शीराम , akadli bakhshiram,,,akadli bakhshiram
आकडसादा,Akdasada,rajasthan village name: आकडसादा,Rajasthan Village Name: Akdasada,Akdasada,आकडसादा - akadsada,आकडसादा , akadsada,,,akadsada
आकला,Skeleton,rajasthan village name: आकला,Rajasthan Village Name: Akla,Akla,आकला - akla,आकला , akla,,,akla
आकली,Gallow,rajasthan village name: आकली,Rajasthan Village Name: Aakali,Aakali,आकली - akli,आकली , akli,,,akli
आकेड़ा डुंगर,Akera dungar,rajasthan village name: आकेड़ा डुंगर,Rajasthan Village Name: Akera Dungar,Akera Dungar,आकेड़ा डुंगर - akeda dungar,आकेड़ा डुंगर , akeda dungar,,,akeda dungar
आकोड़ा,Akoda,rajasthan village name: आकोड़ा,Rajasthan Village Name: Akoda,Akoda,आकोड़ा - akoda,आकोड़ा , akoda,,,akoda
आकोड़ा,Akoda,rajasthan village name: आकोड़ा,Rajasthan Village Name: Akoda,Akoda,आकोड़ा - akoda,आकोड़ा , akoda,,,akoda
आकोडिया,Acodia,rajasthan village name: आकोडिया,Rajasthan Village Name: Akodia,Akodia,आकोडिया - akodiya,आकोडिया , akodiya,,,akodiya
आकोदा,Akoda,rajasthan village name: आकोदा,Rajasthan Village Name: Akoda,Akoda,आकोदा - akoda,आकोदा , akoda,,,akoda
आकोदिया,Akodia,rajasthan village name: आकोदिया,Rajasthan Village Name: Akodia,Akodia,आकोदिया - akodiya,आकोदिया , akodiya,,,akodiya
आकोला,Acola,rajasthan village name: आकोला,Rajasthan Village Name: Acola,Acola,आकोला - akola,आकोला , akola,,,akola
आकोला कला,Acola art,rajasthan village name: आकोला कला,Rajasthan Village Name: Acola Art,Acola Art,आकोला कला - akola kala,आकोला कला , akola kala,,,akola kala
आकोली,Acoli,rajasthan village name: आकोली,Rajasthan Village Name: Akoli,Akoli,आकोली - akoli,आकोली , akoli,,,akoli
आक्या,Akya,rajasthan village name: आक्या,Rajasthan Village Name: Aakya,Aakya,आक्या - akya,आक्या , akya,,,akya
आखराड,Aakhrad,rajasthan village name: आखराड,Rajasthan Village Name: Aakhrad,Aakhrad,आखराड - akhara,आखराड , akhara,,,akhara
आगर,Agar,rajasthan village name: आगर,Rajasthan Village Name: Agar,Agar,आगर - agar,आगर , agar,,,agar
आगरिया,Agaria,rajasthan village name: आगरिया,Rajasthan Village Name: Agria,Agria,आगरिया - agariya,आगरिया , agariya,,,agariya
आगरी,Agri,rajasthan village name: आगरी,Rajasthan Village Name: Agra,Agra,आगरी - agari,आगरी , agari,,,agari
आगवाडी,Festive,rajasthan village name: आगवाडी,Rajasthan Village Name: Agwadi,Agwadi,आगवाडी - agavadi,आगवाडी , agavadi,,,agavadi
आगूचा,Angucha,rajasthan village name: आगूचा,Rajasthan Village Name: Agucha,Agucha,आगूचा - agucha,आगूचा , agucha,,,agucha
आगून्ता,Arms,rajasthan village name: आगून्ता,Rajasthan Village Name: Art,Art,आगून्ता - agunta,आगून्ता , agunta,,,agunta
आगेवा,Ahead,rajasthan village name: आगेवा,Rajasthan Village Name: ahead,ahead,आगेवा - ageva,आगेवा , ageva,,,ageva
आगोलाई,Agoolai,rajasthan village name: आगोलाई,Rajasthan Village Name: Agolai,Agolai,आगोलाई - agolai,आगोलाई , agolai,,,agolai
आचाीणा,Achina,rajasthan village name: आचाीणा,Rajasthan Village Name: Achina,Achina,आचाीणा - achaina,आचाीणा , achaina,,,achaina
आजऊ,Aajau,rajasthan village name: आजऊ,Rajasthan Village Name: Aajau,Aajau,आजऊ - ajau,आजऊ , ajau,,,ajau
आंजना,Stool,rajasthan village name: आंजना,Rajasthan Village Name: Anjana,Anjana,आंजना - anjana,आंजना , anjana,,,anjana
आंजनी,Anjani,rajasthan village name: आंजनी,Rajasthan Village Name: Anjani,Anjani,आंजनी - anjani,आंजनी , anjani,,,anjani
आजन्दा,Azanda,rajasthan village name: आजन्दा,Rajasthan Village Name: Azanda,Azanda,आजन्दा - ajanda,आजन्दा , ajanda,,,ajanda
आंजरोलीखास,Angzrolikhas,rajasthan village name: आंजरोलीखास,Rajasthan Village Name: Angerrolikhas,Angerrolikhas,आंजरोलीखास - anjarolikhask,आंजरोलीखास , anjarolikhask,,,anjarolikhask
आजोदर,Azodar,rajasthan village name: आजोदर,Rajasthan Village Name: Azodar,Azodar,आजोदर - ajodar,आजोदर , ajodar,,,ajodar
आजोलिया का खेड़ा,Azolia's Kheda,rajasthan village name: आजोलिया का खेड़ा,Rajasthan Village Name: Azolia's Kheda,Azolia's Kheda,आजोलिया का खेड़ा - ajoliya ka kheda,आजोलिया का खेड़ा , ajoliya ka kheda,,,ajoliya ka kheda
आटाेन,Aten,rajasthan village name: आटाेन,Rajasthan Village Name: Aten,Aten,आटाेन - aaton,आटाेन , aaton,,,aaton
आंटाेली,Antaeli,rajasthan village name: आंटाेली,Rajasthan Village Name: Antaeli,Antaeli,आंटाली - antali,आंटाली , antali,,,antali
आंटिया,Antia,rajasthan village name: आंटिया,Rajasthan Village Name: Antia,Antia,आंटिया - antiya,आंटिया , antiya,,,antiya
आंटी,Aunty,rajasthan village name: आंटी,Rajasthan Village Name: Aunty,Aunty,आंटी - anti,आंटी , anti,,,anti
आटूण,Auton,rajasthan village name: आटूण,Rajasthan Village Name: Autun,Autun,आटूण - atoon,आटूण , atoon,,,atoon
